0,1,2,3,4,5,6
Pan,Vino,Huevos,Carne,Queso,Lápiz,Pañales
Pan,Queso,Carne,Pañales,Vino,Leche,Lápiz
Queso,Carne,Huevos,Leche,Vino,,
Queso,Carne,Huevos,Leche,Vino,,
Carne,Lápiz,Vino,,,,
Huevos,Pan,Vino,Lápiz,Leche,Pañales,Bagel
Vino,Lápiz,Huevos,Queso,,,
Bagel,Pan,Leche,Lápiz,Pañales,,
Pan,Pañales,Queso,Leche,Vino,Huevos,
Bagel,Vino,Pañales,Carne,Lápiz,Huevos,Queso
Queso,Carne,Huevos,Leche,Vino,,
Bagel,Huevos,Carne,Pan,Pañales,Vino,Leche
Pan,Pañales,Lápiz,Bagel,Carne,,
Bagel,Queso,Leche,Carne,,,
Pan,,,,,,
Lápiz,Pañales,Bagel,,,,
Carne,Bagel,Pan,,,,
Pan,Bagel,Leche,,,,
Pañales,,,,,,
Bagel,Queso,Carne,Pan,Pañales,Huevos,
Carne,Lápiz,Queso,Pan,,,
Queso,Huevos,Vino,Pan,Leche,Lápiz,Carne
Huevos,Bagel,Queso,Carne,Pañales,,
Pañales,Vino,Huevos,Lápiz,Carne,,
Pañales,Carne,Leche,Pan,Bagel,Queso,
Lápiz,,,,,,
Queso,Carne,Huevos,Leche,Vino,,
Pañales,Carne,Pan,Lápiz,Vino,Queso,Leche
Pan,Bagel,,,,,
Carne,Pan,Huevos,Queso,Leche,Pañales,
Pañales,Carne,,,,,
Queso,Bagel,Pan,Pañales,Vino,,
Queso,Leche,Pan,,,,
Pan,Bagel,Leche,,,,
Pañales,Pan,Vino,Carne,Bagel,,
Pan,Queso,Leche,Vino,Pañales,,
Pan,Bagel,Leche,,,,
Pan,Bagel,Leche,,,,
Huevos,,,,,,
Pan,Bagel,Leche,,,,
Pan,Bagel,Leche,,,,
Carne,,,,,,
Huevos,Vino,Leche,Queso,Lápiz,Bagel,Pan
Bagel,Huevos,,,,,
Pañales,Vino,Carne,,,,
Pañales,Pan,Bagel,Huevos,Vino,Leche,Queso
Queso,Carne,Huevos,Leche,,,
Huevos,Vino,,,,,
Queso,Carne,Huevos,Leche,Vino,,
Vino,Leche,,,,,
Pañales,,,,,,
Vino,Pan,Bagel,Pañales,Leche,,
Queso,Carne,Huevos,Leche,Vino,,
Queso,Carne,Huevos,Leche,,,
Queso,Pañales,Carne,Vino,Pan,,
Vino,Leche,Pañales,Lápiz,Queso,Huevos,
Queso,Huevos,Carne,Pañales,Vino,Leche,Pan
Pañales,Huevos,,,,,
Queso,Carne,Huevos,Leche,Vino,,
Vino,Queso,Bagel,Lápiz,Pan,Carne,Pañales
Leche,Lápiz,Queso,Bagel,,,
Carne,Queso,Pañales,Vino,,,
Pan,Bagel,Leche,,,,
Pan,Carne,Lápiz,Leche,Vino,Pañales,
Lápiz,Queso,Pañales,Vino,Huevos,,
Pan,Pañales,Leche,Lápiz,Queso,Huevos,
Lápiz,Leche,Queso,,,,
Huevos,Bagel,Pan,,,,
Pañales,Pan,Queso,Bagel,Carne,Lápiz,
Pan,Bagel,Leche,Pañales,,,
Huevos,Pan,,,,,
Lápiz,Leche,Pañales,Huevos,,,
Lápiz,Leche,Carne,Queso,,,
Bagel,Pan,Pañales,Queso,Carne,,
Queso,Carne,Huevos,Leche,,,
Queso,Carne,Huevos,Leche,,,
Pan,Vino,Huevos,Bagel,Queso,Lápiz,Pañales
Pañales,,,,,,
Queso,Carne,Huevos,Leche,,,
Leche,,,,,,
Pan,Lápiz,,,,,
Vino,Leche,Queso,,,,
Queso,Bagel,,,,,
Lápiz,Pañales,Vino,,,,
Huevos,Carne,Queso,,,,
Carne,Bagel,Lápiz,,,,
Carne,Huevos,Bagel,Queso,Vino,,
Pan,Queso,Vino,Bagel,Leche,Carne,
Carne,Queso,Lápiz,Vino,Pan,,
Leche,Queso,Vino,Bagel,Carne,Lápiz,Pan
Lápiz,Queso,Vino,Leche,Pañales,Bagel,
Pan,Bagel,Leche,,,,
Queso,Carne,Huevos,Leche,,,
Queso,Pañales,Lápiz,Bagel,Vino,Carne,Huevos
Huevos,Carne,Vino,Bagel,Leche,Queso,Pañales
Carne,,,,,,
Pan,Bagel,Leche,,,,
Lápiz,,,,,,
Vino,Pañales,Pan,Queso,,,
Bagel,Lápiz,Vino,Carne,,,
Vino,Pan,,,,,
Pan,Leche,Huevos,Queso,Vino,Lápiz,
Queso,Leche,Carne,Huevos,Bagel,,
Queso,Carne,Huevos,Leche,,,
Pañales,Vino,Carne,Huevos,,,
Carne,Pañales,,,,,
Lápiz,Vino,Pan,Leche,,,
Bagel,Pan,Huevos,Leche,Lápiz,Carne,Vino
Leche,Queso,Vino,Carne,Bagel,Pañales,Pan
Bagel,Pañales,Leche,Queso,Vino,,
Pan,Bagel,Leche,,,,
Pañales,,,,,,
Bagel,Lápiz,Pan,Queso,Huevos,,
Pan,Huevos,Queso,,,,
Carne,Leche,Lápiz,,,,
Pan,Queso,Huevos,Carne,Lápiz,Pañales,Vino
Carne,Queso,,,,,
Huevos,Vino,Bagel,Pan,Carne,,
Bagel,Queso,,,,,
Bagel,Lápiz,Pañales,Vino,Carne,,
Leche,Lápiz,,,,,
Lápiz,Vino,Bagel,Huevos,Pañales,,
Pan,Carne,Leche,Queso,Vino,Huevos,Lápiz
Pan,Bagel,Leche,,,,
Lápiz,Pan,,,,,
Huevos,Leche,Bagel,Vino,,,
Queso,Lápiz,Carne,Huevos,Leche,Bagel,Vino
Queso,Leche,,,,,
